,name,artist,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
83,Don’t Matter To Me (with Michael Jackson),Drake,Scorpion,0.822,0.318,10,-12.391,1,0.0575,0.493,0.0128,0.11,0.138,102.998
84,After Dark (feat. Static Major & Ty Dolla $ign),Drake,Scorpion,0.687,0.429,2,-13.075,1,0.192,0.0407,0.0,0.142,0.336,141.966
85,Final Fantasy,Drake,Scorpion,0.5,0.449,0,-10.977,1,0.442,0.422,7.96e-06,0.115,0.104,144.206
86,March 14,Drake,Scorpion,0.558,0.414,10,-7.355,0,0.358,0.405,0.0,0.36,0.318,127.094
87,Free Smoke,Drake,More Life,0.736,0.491,10,-6.892,0,0.439,0.0681,0.0,0.571,0.203,141.979
88,No Long Talk,Drake,More Life,0.913,0.608,10,-6.839,0,0.234,0.0671,0.0,0.533,0.578,97.063
89,Passionfruit,Drake,More Life,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98
90,Jorja Interlude,Drake,More Life,0.735,0.373,11,-10.478,1,0.104,0.762,0.00202,0.288,0.237,123.081
91,Get It Together,Drake,More Life,0.781,0.721,5,-9.133,0,0.0514,0.0945,0.391,0.104,0.849,123.011
92,Madiba Riddim,Drake,More Life,0.839,0.521,7,-10.45,1,0.166,0.245,0.00545,0.607,0.33,105.992
93,Blem,Drake,More Life,0.726,0.535,7,-7.804,0,0.0476,0.0533,1.38e-05,0.0984,0.375,98.067
94,4422,Drake,More Life,0.609,0.229,11,-12.36,0,0.0333,0.558,0.0413,0.113,0.19,111.887
95,Gyalchester,Drake,More Life,0.877,0.391,1,-8.196,1,0.063,0.0317,0.000502,0.0945,0.122,131.018
96,Skepta Interlude,Drake,More Life,0.745,0.822,7,-6.354,1,0.252,0.0103,4.2e-06,0.155,0.415,86.733
97,Portland,Drake,More Life,0.925,0.443,1,-8.216,1,0.264,0.0172,0.0,0.276,0.35,136.078
98,Sacrifices,Drake,More Life,0.903,0.439,8,-11.813,1,0.397,0.0407,0.0,0.138,0.532,139.112
99,Nothings Into Somethings,Drake,More Life,0.766,0.234,11,-7.544,0,0.159,0.332,0.00156,0.358,0.256,96.882
100,Teenage Fever,Drake,More Life,0.766,0.283,8,-10.33,0,0.0846,0.111,0.0172,0.115,0.144,97.04
101,KMT,Drake,More Life,0.875,0.6,1,-6.818,1,0.0435,0.0189,0.0143,0.132,0.0906,119.987
102,Lose You,Drake,More Life,0.526,0.583,4,-9.172,1,0.376,0.699,0.0,0.372,0.378,89.837
103,Can't Have Everything,Drake,More Life,0.856,0.572,1,-8.429,1,0.373,0.0136,1.55e-06,0.121,0.454,82.445
104,Glow,Drake,More Life,0.688,0.384,9,-8.824,0,0.375,0.2,0.0,0.708,0.432,162.098
105,Since Way Back,Drake,More Life,0.468,0.266,0,-11.121,1,0.13,0.348,9.55e-06,0.209,0.222,153.294
106,Fake Love,Drake,More Life,0.928,0.481,9,-9.35,0,0.287,0.105,0.0,0.176,0.613,134.007
107,Ice Melts,Drake,More Life,0.813,0.551,6,-7.605,0,0.353,0.08,0.0,0.386,0.598,124.957
108,Do Not Disturb,Drake,More Life,0.618,0.693,7,-5.943,0,0.45,0.246,0.0,0.112,0.454,170.982
109,Legend,Drake,If You're Reading This It's Too Late,0.714,0.563,1,-7.574,1,0.0723,0.0266,0.0,0.0776,0.31,100.091
110,Energy,Drake,If You're Reading This It's Too Late,0.747,0.571,11,-7.916,1,0.478,0.38,0.0,0.534,0.553,172.104
111,10 Bands,Drake,If You're Reading This It's Too Late,0.825,0.756,11,-3.687,0,0.383,0.265,2.15e-06,0.0762,0.888,172.938
112,Know Yourself,Drake,If You're Reading This It's Too Late,0.72,0.412,11,-8.687,0,0.223,0.196,0.0,0.342,0.179,114.408
113,No Tellin',Drake,If You're Reading This It's Too Late,0.823,0.467,0,-10.394,0,0.301,0.543,1.06e-06,0.135,0.618,95.026
114,Madonna,Drake,If You're Reading This It's Too Late,0.905,0.492,2,-8.598,1,0.0595,0.0149,3.77e-05,0.371,0.142,110.017
115,6 God,Drake,If You're Reading This It's Too Late,0.868,0.623,2,-8.595,1,0.101,0.0249,0.0,0.125,0.498,105.446
116,Star67,Drake,If You're Reading This It's Too Late,0.521,0.392,3,-7.88,1,0.17,0.747,8.81e-06,0.198,0.166,91.939
117,Preach,Drake,If You're Reading This It's Too Late,0.605,0.51,11,-8.094,0,0.423,0.165,8.8e-05,0.104,0.389,65.255
118,Wednesday Night Interlude,Drake,If You're Reading This It's Too Late,0.312,0.466,9,-8.163,0,0.0509,0.729,7.34e-06,0.215,0.195,135.44
119,Used To,Drake,If You're Reading This It's Too Late,0.926,0.427,10,-7.584,0,0.105,0.0703,0.000337,0.0818,0.304,96.025
120,6 Man,Drake,If You're Reading This It's Too Late,0.568,0.535,4,-9.306,1,0.513,0.217,0.0,0.114,0.326,83.589
121,Now & Forever,Drake,If You're Reading This It's Too Late,0.555,0.481,6,-7.419,1,0.0322,0.124,0.0,0.101,0.098,107.793
122,Company,Drake,If You're Reading This It's Too Late,0.651,0.55,7,-8.215,1,0.0496,0.0403,0.0,0.165,0.119,107.567
123,You & The 6,Drake,If You're Reading This It's Too Late,0.545,0.476,7,-7.444,0,0.284,0.168,0.0,0.13,0.223,154.362
124,Jungle,Drake,If You're Reading This It's Too Late,0.697,0.235,7,-8.651,1,0.0534,0.62,0.000144,0.107,0.378,99.947
125,6PM In New York,Drake,If You're Reading This It's Too Late,0.554,0.85,5,-4.155,1,0.251,0.107,0.0,0.155,0.383,128.429
126,Tuscan Leather,Drake,Nothing Was The Same (Deluxe),0.432,0.681,6,-5.4,1,0.437,0.114,0.0,0.236,0.296,77.793
127,Furthest Thing,Drake,Nothing Was The Same (Deluxe),0.485,0.78,9,-5.261,0,0.142,0.149,0.0,0.0568,0.267,136.972
128,Started From the Bottom,Drake,Nothing Was The Same (Deluxe),0.794,0.523,8,-7.829,1,0.161,0.0331,0.0,0.156,0.56,86.307
129,Wu-Tang Forever,Drake,Nothing Was The Same (Deluxe),0.855,0.433,1,-8.447,0,0.15,0.0414,0.0,0.1,0.394,99.975
130,Own It,Drake,Nothing Was The Same (Deluxe),0.652,0.345,8,-11.319,0,0.119,0.0437,3.59e-05,0.297,0.304,103.281
131,Worst Behavior,Drake,Nothing Was The Same (Deluxe),0.777,0.778,9,-6.349,1,0.136,0.156,1.08e-06,0.196,0.437,109.925
132,From Time,Drake,Nothing Was The Same (Deluxe),0.737,0.494,1,-9.723,0,0.416,0.629,0.0,0.126,0.44,94.485
133,"Hold On, We're Going Home",Drake,Nothing Was The Same (Deluxe),0.773,0.414,6,-7.436,0,0.0961,0.00411,3.4e-05,0.0733,0.289,99.993
134,Connect,Drake,Nothing Was The Same (Deluxe),0.685,0.489,6,-9.472,0,0.152,0.411,0.0,0.132,0.461,75.018
135,The Language,Drake,Nothing Was The Same (Deluxe),0.823,0.662,7,-8.426,1,0.318,0.0118,0.0,0.0805,0.533,120.117
