,name,artist,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
393,I'm Goin In,Drake,I'm Goin In,0.662,0.763,1,-8.455,1,0.377,0.0389,0.0,0.103,0.566,170.031
394,Over,Drake,Over (Explicit Version),0.406,0.86,7,-5.422,1,0.153,0.0124,0.0,0.15,0.479,102.339
395,Charged Up,Drake,Charged Up,0.461,0.696,6,-7.014,0,0.592,0.91,0.0,0.121,0.382,173.695
396,Stars Align (with Drake),Majid Jordan,Wildest Dreams,0.763,0.667,2,-6.285,1,0.085,0.021,2.4e-05,0.0715,0.75,95.864
397,P power (feat. Drake),Gunna,DS4EVER,0.828,0.591,1,-6.217,1,0.109,0.0199,0.000323,0.361,0.202,119.251
398,I'M ON ONE (feat. Drake),Future,I NEVER LIKED YOU,0.773,0.707,11,-5.71,1,0.0568,0.0103,1.04e-05,0.296,0.113,76.977
399,WAIT FOR U (feat. Drake & Tems),Future,I NEVER LIKED YOU,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389
400,Churchill Downs (feat. Drake),Jack Harlow,Come Home The Kids Miss You,0.71,0.522,11,-9.102,1,0.36,0.615,0.0,0.11,0.37,96.448
401,STAYING ALIVE (feat. Drake & Lil Baby),DJ Khaled,STAYING ALIVE (feat. Drake & Lil Baby),0.718,0.496,4,-7.064,0,0.07,0.077,0.0,0.308,0.182,130.0
402,NO SECRET (feat. Drake),DJ Khaled,GOD DID,0.399,0.627,1,-4.164,0,0.0366,0.195,3.58e-05,0.16,0.0409,106.758
403,Rich Flex,Drake,Her Loss,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15
404,Major Distribution,Drake,Her Loss,0.908,0.546,8,-10.491,0,0.323,0.0127,0.0,0.0707,0.225,131.016
405,On BS,Drake,Her Loss,0.841,0.358,9,-8.368,1,0.591,0.0201,0.0,0.39,0.329,158.014
406,BackOutsideBoyz,Drake,Her Loss,0.849,0.433,5,-8.434,0,0.316,0.0407,0.0,0.388,0.395,142.11
407,Privileged Rappers,Drake,Her Loss,0.934,0.614,5,-7.384,1,0.198,0.00274,0.0,0.123,0.616,144.045
408,Spin Bout U,Drake,Her Loss,0.773,0.701,7,-6.386,1,0.0512,0.01,0.0,0.163,0.203,129.963
409,Hours In Silence,Drake,Her Loss,0.501,0.403,6,-11.106,0,0.119,0.234,0.0,0.267,0.111,118.352
410,Treacherous Twins,Drake,Her Loss,0.746,0.517,10,-7.582,0,0.327,0.0782,0.0,0.137,0.609,88.987
411,Circo Loco,Drake,Her Loss,0.734,0.605,1,-8.476,1,0.0699,0.0102,0.0,0.317,0.252,103.976
412,Pussy & Millions (feat. Travis Scott),Drake,Her Loss,0.749,0.63,4,-6.652,0,0.116,0.0623,0.0,0.353,0.445,122.03
413,Broke Boys,Drake,Her Loss,0.642,0.533,2,-7.45,1,0.266,0.0104,0.000108,0.251,0.112,120.041
414,Middle of the Ocean,Drake,Her Loss,0.466,0.703,4,-5.774,0,0.393,0.18,0.0,0.422,0.25,76.815
415,Jumbotron Shit Poppin,Drake,Her Loss,0.799,0.575,6,-6.257,0,0.282,0.221,0.0,0.196,0.319,99.026
416,More M’s,Drake,Her Loss,0.704,0.504,1,-6.749,1,0.223,0.0405,0.000422,0.139,0.0713,82.537
417,3AM on Glenwood,21 Savage,Her Loss,0.475,0.692,1,-8.327,1,0.398,0.0533,6.49e-06,0.18,0.241,181.167
418,I Guess It’s Fuck Me,Drake,Her Loss,0.385,0.34,7,-11.754,1,0.051,0.499,1.2e-05,0.196,0.0398,83.947
419,Intro,Drake,"Honestly, Nevermind",0.193,0.0218,0,-31.16,0,0.0389,0.955,0.88,0.117,0.213,125.501
420,Falling Back,Drake,"Honestly, Nevermind",0.718,0.758,10,-8.29,1,0.0703,0.238,0.00653,0.11,0.349,118.989
421,Texts Go Green,Drake,"Honestly, Nevermind",0.765,0.627,0,-4.607,1,0.0622,0.000916,0.195,0.0847,0.536,118.997
422,Currents,Drake,"Honestly, Nevermind",0.883,0.283,0,-12.653,1,0.113,0.104,0.00167,0.0935,0.416,122.013
423,A Keeper,Drake,"Honestly, Nevermind",0.6,0.482,1,-11.596,1,0.0701,0.512,0.000104,0.115,0.323,121.909
424,Calling My Name,Drake,"Honestly, Nevermind",0.826,0.276,11,-11.227,0,0.266,0.62,8.53e-05,0.118,0.484,123.985
425,Sticky,Drake,"Honestly, Nevermind",0.853,0.495,6,-14.63,1,0.14,0.0917,0.000217,0.0844,0.0774,137.027
426,Massive,Drake,"Honestly, Nevermind",0.499,0.671,4,-6.774,0,0.0561,0.114,0.0169,0.148,0.0557,124.994
427,Flight's Booked,Drake,"Honestly, Nevermind",0.593,0.41,3,-13.097,0,0.0531,0.886,0.0993,0.115,0.201,122.584
428,Overdrive,Drake,"Honestly, Nevermind",0.502,0.645,2,-10.611,0,0.122,0.444,0.00964,0.107,0.518,109.739
429,Down Hill,Drake,"Honestly, Nevermind",0.718,0.319,3,-11.261,1,0.0435,0.965,0.00036,0.0895,0.639,109.994
430,Tie That Binds,Drake,"Honestly, Nevermind",0.775,0.688,4,-10.912,0,0.0593,0.0176,0.0917,0.108,0.284,120.017
431,Liability,Drake,"Honestly, Nevermind",0.557,0.706,0,-6.592,1,0.0649,0.268,0.0,0.132,0.582,105.013
432,Jimmy Cooks (feat. 21 Savage),Drake,"Honestly, Nevermind",0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921
433,We Caa Done (feat. Drake),Popcaan,We Caa Done (feat. Drake),0.568,0.76,1,-6.455,0,0.275,0.0431,1.53e-05,0.18,0.481,100.042
434,Search & Rescue,Drake,Search & Rescue,0.817,0.44,10,-8.482,0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024
435,Who Told You (feat. Drake),J Hus,Who Told You (feat. Drake),0.646,0.743,11,-4.572,0,0.338,0.147,0.0,0.101,0.891,151.314
436,Parade on Cleveland (feat. Drake),Young Thug,BUSINESS IS BUSINESS,0.528,0.298,3,-13.044,0,0.556,0.444,7.76e-06,0.111,0.313,166.116
437,Oh U Went (feat. Drake),Young Thug,BUSINESS IS BUSINESS,0.808,0.789,7,-5.88,0,0.236,0.0517,0.0,0.0819,0.465,136.01
438,On The Radar Freestyle,Drake,On The Radar Freestyle,0.615,0.632,1,-8.539,1,0.292,0.108,0.0,0.129,0.194,150.126
439,MELTDOWN (feat. Drake),Travis Scott,UTOPIA,0.557,0.774,7,-5.275,0,0.351,0.012,0.0,0.396,0.397,111.975
440,Virginia Beach,Drake,For All The Dogs,0.402,0.514,1,-7.322,0,0.0471,0.106,0.0,0.181,0.2,120.009
441,Amen (feat. Teezo Touchdown),Drake,For All The Dogs,0.646,0.605,0,-7.59,1,0.188,0.0636,0.0,0.253,0.309,90.156
442,Calling For You (feat. 21 Savage),Drake,For All The Dogs,0.571,0.55,0,-6.567,1,0.106,0.0548,0.0,0.179,0.104,120.947
443,Fear Of Heights,Drake,For All The Dogs,0.581,0.325,10,-9.238,1,0.22,0.0128,0.0,0.16,0.0666,136.934
444,Daylight,Drake,For All The Dogs,0.566,0.564,10,-7.88,0,0.277,0.0149,0.0,0.104,0.0667,139.92
445,First Person Shooter (feat. J. Cole),Drake,For All The Dogs,0.47,0.64,2,-7.779,1,0.32,0.0277,0.0,0.382,0.248,163.92
446,IDGAF (feat. Yeat),Drake,For All The Dogs,0.663,0.67,8,-8.399,1,0.271,0.0464,8.92e-05,0.205,0.138,136.952
447,7969 Santa,Drake,For All The Dogs,0.487,0.49,10,-9.373,0,0.0649,0.554,0.0,0.126,0.325,141.389
448,Slime You Out (feat. SZA),Drake,For All The Dogs,0.483,0.408,5,-9.243,0,0.0502,0.508,0.0,0.259,0.105,88.88
449,Bahamas Promises,Drake,For All The Dogs,0.626,0.309,1,-10.397,1,0.0433,0.85,1.31e-05,0.117,0.369,117.94
450,Tried Our Best,Drake,For All The Dogs,0.57,0.295,8,-13.693,0,0.0445,0.837,0.0,0.167,0.231,84.139
451,Screw The World - Interlude,Drake,For All The Dogs,0.823,0.642,1,-5.922,1,0.258,0.0644,0.714,0.105,0.629,146.781
452,Drew A Picasso,Drake,For All The Dogs,0.707,0.334,7,-12.792,1,0.244,0.375,0.0,0.17,0.143,127.944
453,Members Only (feat. PARTYNEXTDOOR),Drake,For All The Dogs,0.647,0.34,2,-8.795,0,0.0496,0.245,0.0,0.107,0.176,91.998
454,What Would Pluto Do,Drake,For All The Dogs,0.832,0.555,10,-7.766,0,0.116,0.0506,0.0,0.213,0.473,95.618
455,All The Parties (feat. Chief Keef),Drake,For All The Dogs,0.65,0.405,7,-10.156,0,0.199,0.552,0.0,0.107,0.195,124.747
456,8am in Charlotte,Drake,For All The Dogs,0.567,0.682,4,-6.423,1,0.274,0.643,0.0,0.512,0.668,79.043
457,BBL Love - Interlude,Drake,For All The Dogs,0.502,0.391,4,-9.013,1,0.0428,0.845,0.0,0.112,0.574,132.819
458,Gently (feat. Bad Bunny),Drake,For All The Dogs,0.868,0.407,10,-7.735,1,0.295,0.0479,0.000111,0.139,0.255,107.524
459,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,For All The Dogs,0.645,0.729,2,-4.56,1,0.0528,0.0377,0.0,0.384,0.142,146.01
460,Another Late Night (feat. Lil Yachty),Drake,For All The Dogs,0.684,0.541,5,-8.04,0,0.0483,0.0347,0.0,0.138,0.214,158.046
461,Away From Home,Drake,For All The Dogs,0.848,0.625,1,-7.64,1,0.0587,0.0195,0.0,0.109,0.226,93.019
462,Polar Opposites,Drake,For All The Dogs,0.44,0.274,5,-14.464,0,0.0809,0.0924,3.37e-06,0.128,0.343,76.513
463,WASTING TIME (FEAT. DRAKE & THE NEPTUNES),Brent Faiyaz,WASTELAND,0.443,0.72,7,-3.743,0,0.0733,0.0669,0.0,0.0909,0.374,89.378
464,Red Button,Drake,For All The Dogs Scary Hours Edition,0.455,0.707,0,-5.765,1,0.179,0.155,0.0,0.132,0.393,114.47
465,Stories About My Brother,Drake,For All The Dogs Scary Hours Edition,0.65,0.839,8,-4.428,0,0.18,0.572,7.12e-05,0.219,0.846,87.39
466,The Shoe Fits,Drake,For All The Dogs Scary Hours Edition,0.354,0.79,4,-6.758,0,0.329,0.291,0.0,0.309,0.652,74.179
467,Wick Man,Drake,For All The Dogs Scary Hours Edition,0.476,0.926,2,-6.623,1,0.48,0.353,0.0,0.224,0.52,86.252
468,Evil Ways (feat. J. Cole),Drake,For All The Dogs Scary Hours Edition,0.56,0.784,1,-5.304,1,0.301,0.0508,0.0,0.221,0.25,78.161
469,You Broke My Heart,Drake,For All The Dogs Scary Hours Edition,0.465,0.7,10,-5.163,0,0.0893,0.203,0.0,0.299,0.276,120.854
470,Needle (feat. Drake),Nicki Minaj,Pink Friday 2,0.807,0.593,7,-7.304,1,0.104,0.316,0.00083,0.137,0.323,110.001
